"","ID..year.event.number.","What.event.did.you.attend.","Indicate.the.gender.you.identify.the.most.with.","What.is.your.sexual.orientation.","What.is.your.race...Mark.all.that.apply.","Are.you.a.Transfer.Student.","What.is.your.UCLA.affiliation.","Where.are.you.currently.living.this.school.year.","How.did.you.hear.about.this.event.or.program.","To.what.extent.do.you.agree.with.the.following.statements...By.attending.this.event..I.gained.knowledge.and.or.skills.that.will.benefit.my.overall.health.or.well.being..","To.what.extent.do.you.agree.with.the.following.statements...I.would.apply.the.knowledge.and.or.skills.I.gained.from.attending.this.event.in.my.life..","To.what.extent.do.you.agree.with.the.following.statements...I.would.attend.a.similar.event.in.the.future..","Briefly.describe.what.you.liked.or.disliked.about.this.event.","committee"
"242","21-001-024","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Disagree","","Sexperts"
"252","21-001-025","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Non-Binary","Bisexual","Hispanic or Latinx","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","it was really fun to walk around campus with th people i met, but it was also a lot of walking.","Sexperts"
"262","21-001-026","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Agree","I think the focus should’ve been more on the riddles and less on who can figure out the fastest route! Maybe more health/mental wellness/SWC related clues?","Sexperts"
"272","21-001-027","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","White","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Got to help my roomates get to know the campus ","Sexperts"
"282","21-001-028","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","","Sexperts"
"292","21-001-029","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","Sexperts"
"302","21-001-030","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved the aspect of exploring campus and meeting new people.","Sexperts"
"313","21-001-031","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Email","Agree","Agree","Agree","It was a substitute for the orientation I couldn’t have, and I got to know new people 😀","Sexperts"
"322","21-001-032","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","SWC Search member","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","A couple people in my group already knew each other, so I felt a little left out. However, it was still nice socializing with all of them overall.","Sexperts"
"332","21-001-033","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Gay","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Disagree","Strongly Agree","I liked that we got to travel around the campus but i feel the clues were too easy and there were opportunities for multiple correct answers.","Sexperts"
"342","21-001-034","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","Sexperts"
"352","21-001-035","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Have an open conversation about topics that many people may not be comfortable with in most situations ","Sexperts"
"362","21-001-036","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked how it was set up and how casual it was!  ","Sexperts"
"1631","21-013-001","Sexperts: Sexual Health and Wellness Fair","Female","Bisexual","Hispanic or Latinx","No","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Instagram, From a friend","Strongly Agree","Strongly Agree","Strongly Agree","","Sexperts"
"168","21-001-001","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Facebook, Instagram, Twitter","Strongly Agree","Strongly Agree","Strongly Agree","I liked getting to meet people and socialize!!! ","HerCampus"
"214","21-001-002","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","It was very interactive and the people I worked with were very nice! I loved getting to know campus more as well!","HerCampus"
"314","21-001-003","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","Off-campus apartment","From a friend","Agree","Agree","Agree","","HerCampus"
"412","21-001-004","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","HerCampus"
"512","21-001-005","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Hispanic or Latinx","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Neither Agree nor Disagree","Agree","Strongly Agree","I liked meeting new people and getting to know the campus better :) I wish the clues were related to student wellness facts ","HerCampus"
"612","21-001-006","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Strongly Agree","loved the competitiveness !","HerCampus"
"712","21-001-007","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved meeting everyone I participated in the event with and getting to know new people.","HerCampus"
"812","21-001-008","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked getting to know other people. ","HerCampus"
"910","21-001-009","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Neither Agree nor Disagree","Strongly Agree","It was a fun way to connect with people and explore the campus! ","HerCampus"
"1012","21-001-010","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","i liked the teamwork aspect!","HerCampus"
"1112","21-001-011","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","HerCampus"
"1213","21-001-012","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Instagram","Agree","Agree","Agree","Good exercise","HerCampus"
"1312","21-001-013","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","HerCampus"
"1412","21-001-014","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked the social interaction and physical activity involved in this event. I think the physical activity involved should have been emphasized more.","HerCampus"
